iteration,pkt_send,pkt_recv,delay_avg,carga_ofrecida,carga_util
0,17,17,0.4002,0.085,0.085
1,36,36,0.40743833121675,0.18,0.18
2,74,74,0.4017194487906892,0.37,0.37
3,94,93,0.41034160614298926,0.47,0.465
4,102,102,0.4135136036069902,0.51,0.51
5,116,115,0.41546423622433043,0.58,0.575
6,128,128,0.40675233527871096,0.64,0.64
7,167,167,0.41057599207119166,0.835,0.835
8,194,193,0.42632391908127465,0.97,0.965
9,209,209,0.4339577999454259,1.045,1.045
10,263,262,0.43533879182622137,1.315,1.31
11,244,244,0.4370003481621311,1.22,1.22
12,280,280,0.44436271106232145,1.4,1.4
13,287,287,0.44944818249710805,1.435,1.435
14,308,308,0.45215448277000003,1.54,1.54
15,321,321,0.4509064935511838,1.605,1.605
16,346,346,0.44965840344072255,1.73,1.73
17,356,354,0.4485998728328249,1.78,1.77
18,354,354,0.4475481950160169,1.77,1.77
19,420,420,0.4776478851878571,2.1,2.1
20,384,382,0.4399222910990576,1.92,1.91
21,465,463,0.4644231570037581,2.325,2.315
22,443,442,0.47602662019667424,2.215,2.21
23,482,482,0.49557196334431536,2.41,2.41
24,458,457,0.479848992205186,2.29,2.285
25,539,537,0.5176506085411732,2.695,2.685
26,548,547,0.5240495016999818,2.74,2.735
27,509,507,0.5025962894879488,2.545,2.535
28,571,570,0.5200672938091755,2.855,2.85
29,568,567,0.531219136698395,2.84,2.835
30,631,630,0.5680448690200477,3.155,3.15
31,680,675,0.5740889721774814,3.4,3.375
32,699,693,0.6140702336045599,3.495,3.465
33,641,640,0.5585999878530938,3.205,3.2
34,670,667,0.6548462738258471,3.35,3.335
35,687,681,0.6489548232404699,3.435,3.405
36,753,751,0.7034165456228895,3.765,3.755
37,795,791,0.6712514779982175,3.975,3.955
38,743,742,0.6611669269416037,3.715,3.71
39,769,766,0.6906463134957703,3.845,3.83
40,875,875,0.9942171572419315,4.375,4.375
41,881,880,1.0912667516676364,4.405,4.4
42,863,861,0.9258288268745993,4.315,4.305
43,848,843,0.8888753212373547,4.24,4.215
44,899,895,1.1318978875109498,4.495,4.475
45,905,889,1.104348263943172,4.525,4.445
46,1018,987,3.0331092230799395,5.09,4.935
47,888,888,1.133331911304617,4.44,4.44
48,989,979,1.792910301595097,4.945,4.895
49,980,962,1.6313295946323285,4.9,4.81
50,1044,987,4.962699510301722,5.22,4.935
51,1063,995,5.901078727679699,5.315,4.975
52,1047,996,6.632700659536446,5.235,4.98
53,1156,995,10.446160803699499,5.78,4.975
54,1108,998,9.597922319284368,5.54,4.99
55,1128,993,12.899701212578046,5.64,4.965
56,1140,995,12.891174175528644,5.7,4.975
57,1163,996,16.304599851475903,5.815,4.98
58,1168,995,16.725047134403017,5.84,4.975
59,1192,994,13.87601035627163,5.96,4.97
60,1242,998,17.305057739932867,6.21,4.99
61,1237,996,18.540711019803215,6.185,4.98
62,1238,998,19.82902918920541,6.19,4.99
63,1212,997,17.5911184766329,6.06,4.985
64,1329,998,24.81768275270441,6.645,4.99
65,1369,998,26.5532528478998,6.845,4.99
66,1398,998,27.092117002434872,6.99,4.99
67,1390,996,24.811305387131526,6.95,4.98
68,1370,998,26.392472407938875,6.85,4.99
69,1468,998,29.110914536135272,7.34,4.99
70,1428,996,27.732607810269077,7.14,4.98
71,1431,998,27.37664882696393,7.155,4.99
72,1422,995,28.48963122884422,7.11,4.975
73,1475,998,29.355993082658316,7.375,4.99
74,1422,998,26.591112969768538,7.11,4.99
75,1508,998,28.79566661142886,7.54,4.99
76,1593,998,28.246942514068134,7.965,4.99
77,1579,997,29.60286231865597,7.895,4.985
78,1608,997,28.198914770676026,8.04,4.985
79,1556,998,28.844915490603206,7.78,4.99
80,1602,998,29.62964515430361,8.01,4.99
81,1666,998,30.420681162461925,8.33,4.99
82,1689,998,29.969661518898796,8.445,4.99
83,1750,998,30.890676203228455,8.75,4.99
84,1741,998,31.28274258714028,8.705,4.99
85,1712,998,31.922006185748497,8.56,4.99
86,1716,997,30.209536675921765,8.58,4.985
87,1743,997,31.48037941460682,8.715,4.985
88,1820,998,31.294051631038077,9.1,4.99
89,1768,998,31.48765293871543,8.84,4.99
90,1838,998,32.11685241782265,9.19,4.99
91,1841,997,31.241223846066198,9.205,4.985
92,1848,997,31.915642151950856,9.24,4.985
93,1921,998,32.806515549028056,9.605,4.99
94,1921,998,32.3463662661483,9.605,4.99
95,1909,998,31.583319909887777,9.545,4.99
96,1907,998,32.154600339071145,9.535,4.99
97,1938,997,33.59066435712838,9.69,4.985
98,1929,998,32.46343987262525,9.645,4.99
99,1910,998,32.631456206112226,9.55,4.99
100,1989,998,34.64458060898898,9.945,4.99
101,1974,998,33.060127316059116,9.87,4.99
102,1999,998,34.059142183147294,9.995,4.99
103,2000,998,36.994102430851704,10.0,4.99
104,1995,998,40.59664850826653,9.975,4.99
105,1986,998,33.273954488289576,9.93,4.99
106,1989,998,35.65164457914629,9.945,4.99
107,1996,997,36.44823790780341,9.98,4.985
108,1999,998,39.15665779248898,9.995,4.99
109,1986,998,36.81975241092385,9.93,4.99
110,1997,998,37.947785007278554,9.985,4.99
111,2000,998,39.72849859218938,10.0,4.99
112,1996,998,43.357002399919836,9.98,4.99
113,1999,998,41.203839076845696,9.995,4.99
114,1999,998,41.98937095498096,9.995,4.99
