iteration,pkt_send,pkt_recv,delay_avg,carga_ofrecida,carga_util
0,17,17,0.4002,0.085,0.085
1,36,36,0.41300499788341666,0.18,0.18
2,74,74,0.4044072171168108,0.37,0.37
3,94,93,0.4289079369197742,0.47,0.465
4,102,102,0.43101381828211766,0.51,0.51
5,116,115,0.43489646991328695,0.58,0.575
6,128,128,0.41833690597564843,0.64,0.64
7,167,167,0.42639092791857486,0.835,0.835
8,194,193,0.4659920538361658,0.97,0.965
9,209,209,0.4976953132348804,1.045,1.045
10,263,262,0.4999482899669465,1.315,1.31
11,244,243,0.5042607791824691,1.22,1.215
12,280,280,0.5160134977947858,1.4,1.4
13,287,287,0.534890997343972,1.435,1.435
14,307,305,0.5319113086344919,1.535,1.525
15,321,321,0.5308257619857321,1.605,1.605
16,346,345,0.5447963179408986,1.73,1.725
17,356,354,0.5517372820349999,1.78,1.77
18,354,354,0.5418391368797457,1.77,1.77
19,420,420,0.6505442030944761,2.1,2.1
20,384,382,0.5460637542249739,1.92,1.91
21,464,463,0.7797767099647085,2.32,2.315
22,443,442,0.6434234635290951,2.215,2.21
23,482,482,0.7304691259661619,2.41,2.41
24,458,457,0.7511945927529103,2.29,2.285
25,538,536,0.9861555208082277,2.69,2.68
26,542,540,1.0322822979106667,2.71,2.7
27,508,506,0.8389854914609683,2.54,2.53
28,571,569,0.9905627188699825,2.855,2.845
29,566,564,1.0890898899111348,2.83,2.82
30,631,630,2.1223971255142855,3.155,3.15
31,660,659,5.337816794574659,3.3,3.295
32,651,650,6.657339170832461,3.255,3.25
33,639,638,3.0890039102532914,3.195,3.19
34,643,642,4.512138798940654,3.215,3.21
35,653,651,4.3230485089814135,3.265,3.255
36,663,662,12.219138285896525,3.315,3.31
37,664,663,17.39909563266365,3.32,3.315
38,661,660,13.280082646628637,3.305,3.3
39,664,662,16.814138884942597,3.32,3.31
40,666,665,22.992637098833082,3.33,3.325
41,666,665,25.706447838464662,3.33,3.325
42,665,663,24.930619853644046,3.325,3.315
43,667,665,20.210339217094734,3.335,3.325
44,665,664,29.546451081248495,3.325,3.32
45,663,662,26.66762420210876,3.315,3.31
46,665,664,34.0306323015,3.325,3.32
47,663,662,26.55777642664955,3.315,3.31
48,667,665,34.71979185603158,3.335,3.325
49,666,665,29.87608022552782,3.33,3.325
50,666,665,34.62123867210827,3.33,3.325
51,666,665,37.254503825757894,3.33,3.325
52,666,664,38.106765763968376,3.33,3.32
53,666,664,39.896808101972894,3.33,3.32
54,666,665,39.08315048959098,3.33,3.325
55,665,663,41.656469567508296,3.325,3.315
56,664,663,40.914019663550526,3.32,3.315
57,667,665,43.46824696093684,3.335,3.325
58,666,665,43.68243071597594,3.33,3.325
59,665,664,41.923622053213855,3.325,3.32
60,667,665,43.18209431366767,3.335,3.325
61,666,664,45.45713452616265,3.33,3.32
62,667,665,46.87598594334887,3.335,3.325
63,666,665,44.508404423601505,3.33,3.325
64,666,665,50.83958233444211,3.33,3.325
65,667,665,53.036506767344356,3.335,3.325
66,667,665,54.07738298856542,3.335,3.325
67,666,665,50.42880088638496,3.33,3.325
68,667,665,52.98166774802556,3.335,3.325
69,667,665,56.86267048734887,3.335,3.325
70,665,664,54.62593147827259,3.325,3.32
71,667,665,54.176022062463154,3.335,3.325
72,665,664,55.75643507461747,3.325,3.32
73,666,665,57.42008015345264,3.33,3.325
74,667,665,52.899276792139844,3.335,3.325
75,666,665,56.41421187458196,3.33,3.325
76,667,665,56.17598283743458,3.335,3.325
77,666,664,58.196118505704824,3.33,3.32
78,667,665,55.33567212333234,3.335,3.325
79,666,665,56.903812429001505,3.33,3.325
80,666,665,58.43301708201504,3.33,3.325
81,667,665,60.29980980396241,3.335,3.325
82,667,665,58.67950278109022,3.335,3.325
83,667,665,61.729342246421055,3.335,3.325
84,667,665,62.47978526433233,3.335,3.325
85,666,665,64.36837257781202,3.33,3.325
86,666,664,59.9025092304744,3.33,3.32
87,666,665,62.5588172442391,3.33,3.325
88,666,665,62.62730833201053,3.33,3.325
89,666,665,63.63686856648421,3.33,3.325
90,667,665,65.33205509886166,3.335,3.325
91,666,665,62.23941276409323,3.33,3.325
92,666,665,64.19733258709775,3.33,3.325
93,666,665,67.04330849945264,3.33,3.325
94,666,665,65.36346973170225,3.33,3.325
95,667,665,62.34807428388872,3.335,3.325
96,667,665,65.35145058147819,3.335,3.325
97,666,665,68.12218957296993,3.33,3.325
98,666,665,66.06888981221654,3.33,3.325
99,666,665,66.17253128625565,3.33,3.325
100,666,665,67.58330544276842,3.33,3.325
101,666,665,67.53346946974135,3.33,3.325
102,666,665,68.71593109912631,3.33,3.325
103,667,665,69.67252354477142,3.335,3.325
104,667,665,71.6687803516782,3.335,3.325
105,667,665,67.08608993038648,3.335,3.325
106,667,665,68.25111656746316,3.335,3.325
107,666,665,69.36076883546015,3.33,3.325
108,667,665,70.0592085887218,3.335,3.325
109,666,665,67.22891152164812,3.33,3.325
110,667,665,69.96307869246918,3.335,3.325
111,666,665,69.98860494629022,3.33,3.325
112,667,665,72.72103431130074,3.335,3.325
113,666,665,71.9594252317564,3.33,3.325
114,667,665,71.98478326592782,3.335,3.325
